word,freq,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
abuse,1,0.812,0,0.695,0.672,0,0.625,0,0
affection,1,0,0,0,0,0.647,0,0,0.484
afraid,1,0,0,0,0.844,0,0,0,0
alive,9,0,0.461,0,0,0.531,0,0,0.5
amnesty,1,0,0,0,0,0.328,0,0,0
annoyed,1,0.485,0,0,0,0,0,0,0
antithesis,1,0.5,0,0,0,0,0,0,0
anxiety,1,0.344,0.609,0,0.594,0,0.5,0,0
anxious,1,0,0.641,0,0.518,0,0,0,0
asshole,2,0.606,0,0.836,0,0,0,0,0
awareness,1,0,0,0,0,0,0,0,0.609
axiom,1,0,0,0,0,0,0,0,0.422
baby,1,0,0,0,0,0.5,0,0,0
banquet,1,0,0.406,0,0,0.303,0,0,0
beer,1,0,0,0,0,0.141,0,0,0
beg,1,0,0,0,0,0,0.484,0,0
bitch,1,0.803,0,0.648,0.297,0,0.406,0,0
blood,2,0,0,0,0.525,0,0,0,0
blue,2,0,0,0,0,0,0.4,0,0
breakfast,1,0,0,0,0,0.242,0,0,0
brotherhood,1,0,0,0,0,0,0,0,0.82
cacophony,1,0.406,0,0.328,0,0,0,0,0
childhood,1,0,0,0,0,0.394,0,0,0
chill,1,0,0,0,0,0.281,0,0,0
coexist,1,0,0,0,0,0,0,0,0.641
communicate,1,0,0,0,0,0,0,0,0.664
compassion,33,0,0,0,0.078,0,0,0,0.759
compassionate,2,0,0,0,0,0,0,0,0.695
conscience,1,0,0,0,0,0,0,0,0.633
convict,1,0.621,0,0.516,0.594,0,0.469,0,0
court,1,0.199,0.492,0,0.284,0,0,0,0
creativity,1,0,0,0,0,0.484,0,0,0
cry,1,0,0,0,0,0,0.75,0,0
damn,1,0.735,0,0.359,0,0,0,0,0
death,2,0.574,0.398,0.656,0.843,0,0.915,0.578,0
depression,1,0,0,0,0.508,0,0.925,0,0
desire,2,0,0,0,0,0.484,0,0,0
dictionary,1,0,0,0,0,0,0,0,0.523
die,1,0,0,0,0.766,0,0.773,0,0
dignity,1,0,0,0,0,0.5,0,0,0.672
dinosaur,1,0,0,0,0.453,0,0,0,0
diplomatic,1,0,0,0,0,0,0,0,0.68
ecstasy,1,0,0.711,0,0,0.906,0,0,0
emotional,3,0,0,0,0,0,0.438,0,0
encyclopedia,1,0,0,0,0,0,0,0,0.672
endanger,1,0,0.516,0,0.688,0,0,0,0
error,1,0,0,0,0,0,0.25,0,0
ethereal,1,0,0,0,0.328,0,0,0,0
excitement,1,0,0.82,0,0,0.922,0,0.734,0
faith,4,0,0.438,0,0,0.453,0,0,0.742
family,8,0,0,0,0,0.5,0,0,0
fate,1,0,0.555,0,0,0,0,0,0.438
fear,4,0.5,0,0,0.828,0,0,0,0
feeling,1,0.147,0.555,0.141,0.328,0.359,0.172,0.359,0.518
flesh,1,0,0,0.352,0,0,0,0,0
food,1,0,0,0,0,0.258,0,0,0.336
forgive,2,0,0,0,0,0,0,0,0.547
forgiveness,1,0,0,0,0,0.453,0,0,0
fortitude,1,0,0,0,0,0.266,0,0,0.633
free,1,0,0,0,0,0.544,0,0,0
freedom,4,0,0,0,0,0.561,0,0,0.742
friend,1,0,0,0,0,0.471,0,0,0.75
friendship,1,0,0,0,0,0.591,0,0,0.727
frightened,2,0,0,0,0.844,0,0,0.867,0
garden,1,0,0,0,0,0.333,0,0,0
genuine,1,0,0,0,0,0,0,0,0.75
god,5,0,0.484,0,0.094,0.545,0,0,0.617
gratitude,1,0,0,0,0,0.914,0,0,0.594
grief,1,0,0,0,0,0,0.859,0,0
happiness,4,0,0.641,0,0,0.984,0,0,0
happy,1,0,0.555,0,0,0.788,0,0,0.609
hate,1,0.828,0,0.695,0.484,0,0.656,0,0
hatred,1,0.953,0,0.68,0.703,0,0.641,0,0
heart,4,0,0,0,0,0.547,0,0,0
heartache,1,0,0,0,0,0,0.812,0,0
heartbreak,1,0,0,0,0,0,0.781,0,0
heartfelt,1,0,0,0,0,0.719,0.188,0,0.734
heaven,1,0,0,0,0,0.721,0,0,0
help,8,0,0,0,0.203,0,0,0,0
helpful,1,0,0,0,0,0.422,0,0,0.602
home,2,0,0,0,0,0.559,0,0,0
hope,7,0,0.773,0,0,0.586,0,0.367,0.68
hopeful,1,0,0.703,0,0,0.559,0,0.234,0.633
horseshit,1,0.719,0,0,0,0,0,0,0
humanitarian,1,0,0.383,0,0,0.469,0,0.195,0.695
humanity,11,0,0,0,0,0.391,0,0,0.688
humor,1,0,0,0,0,0.656,0,0,0
hungry,4,0,0.547,0,0,0,0,0,0
illuminate,1,0,0.594,0,0,0.547,0,0.547,0
imagination,2,0,0,0,0.141,0,0,0,0.438
inconceivable,1,0,0,0,0,0,0,0.602,0
inevitable,1,0,0,0,0,0,0,0,0.492
injustice,1,0.5,0,0,0,0,0,0,0
intimacy,1,0,0,0,0.203,0,0,0,0
jesus,5,0,0,0,0,0.594,0,0,0
judgement,1,0,0,0,0,0,0,0,0.492
justice,4,0,0,0,0,0,0,0,0.711
kind,1,0,0,0,0,0.621,0,0,0.641
kitten,2,0,0,0,0,0.364,0,0,0.461
laughing,1,0,0,0,0,0.864,0,0,0
life,9,0,0,0,0,0.438,0,0,0
like,1,0,0,0,0,0,0,0,0.484
live,4,0,0,0,0,0.406,0,0,0
love,134,0,0,0,0,0.828,0,0,0.758
lust,1,0,0.625,0,0,0,0,0,0
morality,1,0,0,0,0,0,0,0,0.703
mother,3,0,0.406,0,0,0.412,0.016,0,0.703
murder,1,0.897,0,0.839,0.906,0,0.828,0.617,0
nonsense,1,0.25,0,0,0,0,0,0,0
nose,1,0,0,0.18,0,0,0,0,0
obese,1,0,0,0.734,0,0,0,0,0
octopus,1,0,0,0.258,0,0,0,0,0
orc,1,0.289,0,0.383,0.388,0,0,0,0
pain,3,0,0,0,0.594,0,0.719,0,0
pandemic,1,0,0,0,0.664,0,0.75,0,0
passion,3,0,0.633,0,0,0.603,0,0,0.469
pray,1,0,0.547,0,0.109,0.469,0,0.18,0.516
prayer,1,0,0,0,0,0.439,0,0,0
pregnancy,1,0,0,0.164,0,0,0,0,0
puppy,1,0,0.5,0,0,0,0,0,0.453
rage,1,0.911,0,0,0,0,0,0,0
rapture,1,0,0.711,0,0,0.485,0,0,0
religion,1,0,0,0,0,0,0,0,0.469
requiem,1,0,0,0,0,0,0.531,0,0
retard,1,0,0,0.578,0.484,0,0.516,0,0
riddle,1,0,0,0,0,0,0,0.422,0
ridiculous,2,0.289,0,0.352,0,0,0,0,0
run,1,0,0,0,0.25,0,0,0,0
sadness,1,0,0,0,0,0,0.864,0,0.25
salvation,1,0,0.555,0,0,0.412,0,0,0.547
scared,4,0,0,0,0.734,0,0,0,0
sex,8,0,0.695,0,0,0.622,0,0,0.375
shit,5,0.573,0,0.82,0,0,0,0,0
shitty,1,0,0,0,0,0,0.656,0,0
shorty,1,0,0,0,0,0,0,0,0.289
smell,1,0.061,0,0.445,0,0,0,0,0
smile,2,0,0,0,0,0.75,0,0.117,0.578
soul,9,0,0,0,0,0.401,0,0,0
spiritual,1,0,0,0,0,0.297,0,0,0.664
suffering,1,0,0,0.625,0.812,0,0.844,0,0
sunset,1,0,0.453,0,0,0.312,0,0,0
sunshine,1,0,0,0,0,0.551,0,0,0
sympathy,4,0,0,0,0,0,0.375,0,0
tantamount,1,0,0,0,0,0,0,0,0.539
thought,1,0,0.414,0,0,0,0,0,0
triumph,1,0,0.664,0,0,0.742,0,0,0
true,1,0,0,0,0,0.328,0,0,0.789
trust,2,0,0.391,0,0,0,0,0,0.805
unknown,1,0,0.469,0,0.369,0,0,0,0
vivid,1,0,0,0,0,0.515,0,0,0
waffle,1,0.03,0,0,0,0,0.047,0,0
weirdo,1,0,0,0,0.328,0,0,0,0
word,2,0,0,0,0,0,0,0,0.477
worthy,1,0,0,0,0,0,0,0,0.643
